dataset,scene,split,iteration,normal_key,mask_policy,normal_space,absolute_dot,flip_x,flip_y,flip_z,flip_preset,normal_mae_deg,valid_pixel_count,valid_pixel_ratio,frame_count,missing_frame_count,status,notes,diagnostic_only,inference_note
refnerf,ball,test,31000,surf_normal,auto,camera,False,False,True,False,flip_y,86.36444835662842,5089,0.5089,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,ball,test,31000,surf_normal,auto,camera,False,False,False,True,flip_z,52.28466148376465,5089,0.5089,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,ball,test,31000,surf_normal,auto,camera,False,False,True,True,flip_yz,121.93093566894531,5089,0.5089,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,ball,test,31000,surf_normal,auto,world,False,False,False,False,none,3.7053115367889404,5089,0.5089,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,ball,test,31000,surf_normal,auto,world,False,False,True,False,flip_y,86.36444835662842,5089,0.5089,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,ball,test,31000,surf_normal,auto,world,False,False,False,True,flip_z,52.284661865234376,5089,0.5089,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,ball,test,31000,surf_normal,auto,world,False,False,True,True,flip_yz,121.93093681335449,5089,0.5089,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,car,test,31000,surf_normal,auto,as_saved,False,False,False,False,none,13.20125060081482,2013,0.2013,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,car,test,31000,surf_normal,auto,as_saved,False,False,True,False,flip_y,52.043789863586426,2013,0.2013,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,car,test,31000,surf_normal,auto,as_saved,False,False,False,True,flip_z,82.26904468536377,2013,0.2013,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,car,test,31000,surf_normal,auto,as_saved,False,False,True,True,flip_yz,118.8224365234375,2013,0.2013,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,car,test,31000,surf_normal,auto,camera,False,False,False,False,none,13.201225924491883,2013,0.2013,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,car,test,31000,surf_normal,auto,camera,False,False,True,False,flip_y,52.04378614425659,2013,0.2013,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,car,test,31000,surf_normal,auto,camera,False,False,False,True,flip_z,82.26903972625732,2013,0.2013,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,car,test,31000,surf_normal,auto,camera,False,False,True,True,flip_yz,118.82244491577148,2013,0.2013,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,car,test,31000,surf_normal,auto,world,False,False,False,False,none,13.201242256164551,2013,0.2013,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,car,test,31000,surf_normal,auto,world,False,False,True,False,flip_y,52.043785667419435,2013,0.2013,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,car,test,31000,surf_normal,auto,world,False,False,False,True,flip_z,82.26904487609863,2013,0.2013,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,car,test,31000,surf_normal,auto,world,False,False,True,True,flip_yz,118.82244262695312,2013,0.2013,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
