dataset,scene,split,iteration,normal_key,mask_policy,normal_space,absolute_dot,flip_x,flip_y,flip_z,flip_preset,normal_mae_deg,valid_pixel_count,valid_pixel_ratio,frame_count,missing_frame_count,status,notes,diagnostic_only
refnerf,ball,test,30000,surf_normal,auto,world,True,False,True,False,flip_y,53.73716659545899,5133,0.5133,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,auto,world,False,False,False,True,flip_z,52.56146011352539,5133,0.5133,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,auto,world,True,False,False,True,flip_z,44.166265678405765,5133,0.5133,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,auto,world,False,False,True,True,flip_yz,121.18060302734375,5133,0.5133,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,auto,world,True,False,True,True,flip_yz,45.93891353607178,5133,0.5133,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,car,test,30000,surf_normal,source_rgba_alpha,as_saved,False,False,False,False,none,13.437930059432983,1966,0.1966,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,car,test,30000,surf_normal,source_rgba_alpha,as_saved,True,False,False,False,none,12.70212152004242,1966,0.1966,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,car,test,30000,surf_normal,source_rgba_alpha,as_saved,False,False,True,False,flip_y,54.10707473754883,1966,0.1966,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,car,test,30000,surf_normal,source_rgba_alpha,as_saved,True,False,True,False,flip_y,29.979002952575684,1966,0.1966,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,car,test,30000,surf_normal,source_rgba_alpha,as_saved,False,False,False,True,flip_z,78.9726749420166,1966,0.1966,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,car,test,30000,surf_normal,source_rgba_alpha,as_saved,True,False,False,True,flip_z,36.57090826034546,1966,0.1966,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,car,test,30000,surf_normal,source_rgba_alpha,as_saved,False,False,True,True,flip_yz,117.47740211486817,1966,0.1966,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,car,test,30000,surf_normal,source_rgba_alpha,as_saved,True,False,True,True,flip_yz,24.854773426055907,1966,0.1966,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,car,test,30000,surf_normal,source_rgba_alpha,camera,False,False,False,False,none,13.437902307510376,1966,0.1966,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,car,test,30000,surf_normal,source_rgba_alpha,camera,True,False,False,False,none,12.702094125747681,1966,0.1966,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,car,test,30000,surf_normal,source_rgba_alpha,camera,False,False,True,False,flip_y,54.10707130432129,1966,0.1966,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,car,test,30000,surf_normal,source_rgba_alpha,camera,True,False,True,False,flip_y,29.978996753692627,1966,0.1966,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,car,test,30000,surf_normal,source_rgba_alpha,camera,False,False,False,True,flip_z,78.9726734161377,1966,0.1966,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
